#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1878C
#Date Time: 2024-04-19 11:21:02.549
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 9.7 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.0001134,0.4023363775466242,-8.79088189194756
0.00011403,0.4023363775466242,-8.746726882087113
0.00011466,0.4060536848129305,-8.706251456381704
0.00011529,0.398619070280318,-8.662096446521257
0.00011592,0.398619070280318,-8.680494367296443
0.00011655,0.398619070280318,-8.779843139482448
0.00011718,0.3949017630140116,-8.868153159203342
0.00011781,0.4023363775466242,-8.941744842304086
0.00011844,0.4060536848129305,-9.022695693714905
0.00011907,0.4060536848129305,-9.085248624350537
0.0001197,0.4023363775466242,-9.136762802521059
0.00012033,0.4023363775466242,-9.18827698069158
0.00012096,0.4023363775466242,-9.221393238086915
0.00012159,0.4060536848129305,-9.250829911327212
0.00012222,0.4060536848129305,-9.272907416257436
0.00012285,0.4060536848129305,-9.287625752877585
0.00012348,0.4023363775466242,-9.294984921187659
0.00012411,0.4023363775466242,-9.294984921187659
0.00012474,0.4023363775466242,-9.287625752877585
0.00012537,0.4023363775466242,-9.276587000412473
0.000126,0.4023363775466242,-9.25450949548225
0.00012663,0.4023363775466242,-9.228752406396989
0.00012726,0.4023363775466242,-9.18827698069158
0.00012789,0.4060536848129305,-9.144121970831133
0.00012852,0.4023363775466242,-9.092607792660612
0.00012915,0.4023363775466242,-9.059491535265277
0.00012978,0.4060536848129305,-9.004297772939719
0.00013041,0.4023363775466242,-8.945424426459123
0.00013104,0.4023363775466242,-8.897589832443639
0.00013167,0.4023363775466242,-8.85711440673823
0.0001323,0.4060536848129305,-8.809279812722746
0.00013293,0.4023363775466242,-8.765124802862299
0.00013356,0.4023363775466242,-8.728328961311927
0.00013419,0.4023363775466242,-8.691533119761555
0.00013482,0.398619070280318,-8.651057694056146
0.00013545,0.4060536848129305,-8.610582268350736
0.00013608,0.398619070280318,-8.669455614831332
0.00013671,0.4023363775466242,-8.765124802862299
0.00013734,0.4023363775466242,-8.853434822583193
0.00013797,0.4023363775466242,-8.934385673994012
0.0001386,0.398619070280318,-9.011656941249793
0.00013923,0.3949017630140116,-9.074209871885426
0.00013986,0.398619070280318,-9.125724050055947
0.00014049,0.4023363775466242,-9.169879059916394
0.00014112,0.4060536848129305,-9.210354485621803
0.00014175,0.4060536848129305,-9.236111574707063
0.00014238,0.398619070280318,-9.258189079637287
0.00014301,0.3949017630140116,-9.272907416257436
0.00014364,0.398619070280318,-9.283946168722547
0.00014427,0.4023363775466242,-9.283946168722547
0.0001449,0.4097709920792368,-9.28026658456751
0.00014553,0.4060536848129305,-9.265548247947361
0.00014616,0.4023363775466242,-9.243470743017138
0.00014679,0.4023363775466242,-9.21403406977684
0.00014742,0.4023363775466242,-9.173558644071431
0.00014805,0.4023363775466242,-9.133083218366021
0.00014868,0.4023363775466242,-9.0815690401955
0.00014931,0.4023363775466242,-9.05581195111024
0.00014994,0.4023363775466242,-8.985899852164533
0.00015057,0.4023363775466242,-8.934385673994012
0.0001512,0.4023363775466242,-8.886551079978528
0.00015183,0.4023363775466242,-8.849755238428155
0.00015246,0.4060536848129305,-8.805600228567709
0.00015309,0.4023363775466242,-8.761445218707262
0.00015372,0.4060536848129305,-8.717290208846816
0.00015435,0.4060536848129305,-8.680494367296443
0.00015498,0.4060536848129305,-8.640018941591034
0.00015561,0.4023363775466242,-8.617941436660811
0.00015624,0.398619070280318,-8.702571872226667
0.00015687,0.4023363775466242,-8.79088189194756
0.0001575,0.4023363775466242,-8.886551079978528
0.00015813,0.398619070280318,-8.967501931389346
0.00015876,0.398619070280318,-9.041093614490091
0.00015939,0.3949017630140116,-9.103646545125724
0.00016002,0.398619070280318,-9.158840307451282
0.00016065,0.4023363775466242,-9.199315733156691
0.00016128,0.4023363775466242,-9.243470743017138
0.00016191,0.4023363775466242,-9.269227832102398
0.00016254,0.4023363775466242,-9.291305337032622
0.00016317,0.3949017630140116,-9.306023673652771
0.0001638,0.398619070280318,-9.320742010272919
0.00016443,0.398619070280318,-9.313382841962845
0.00016506,0.4023363775466242,-9.306023673652771
0.00016569,0.4060536848129305,-9.298664505342696
0.00016632,0.4023363775466242,-9.28026658456751
0.00016695,0.398619070280318,-9.258189079637287
0.00016758,0.398619070280318,-9.21403406977684
0.00016821,0.4023363775466242,-9.162519891606319
0.00016884,0.398619070280318,-9.114685297590835
0.00016947,0.4023363775466242,-9.077889456040463
0.0001701,0.398619070280318,-9.004297772939719
0.00017073,0.4023363775466242,-8.960142763079272
0.00017136,0.4023363775466242,-8.912308169063788
0.00017199,0.4023363775466242,-8.875512327513416
0.00017262,0.398619070280318,-8.831357317652969
0.00017325,0.4023363775466242,-8.794561476102597
0.00017388,0.398619070280318,-8.754086050397188
0.00017451,0.398619070280318,-8.706251456381704
0.00017514,0.4023363775466242,-8.665776030676295
0.00017577,0.3949017630140116,-8.691533119761555
0.0001764,0.398619070280318,-8.798241060257634
0.00017703,0.4023363775466242,-8.893910248288602
0.00017766,0.4060536848129305,-8.978540683854458
0.00017829,0.4097709920792368,-9.052132366955203
0.00017892,0.4060536848129305,-9.12204446590091
0.00017955,0.4023363775466242,-9.184597396536542
0.00018018,0.3949017630140116,-9.236111574707063
0.00018081,0.3949017630140116,-9.276587000412473
0.00018144,0.3949017630140116,-9.317062426117882
0.00018207,0.3949017630140116,-9.339139931048106
0.0001827,0.3949017630140116,-9.361217435978329
0.00018333,0.398619070280318,-9.372256188443441
0.00018396,0.398619070280318,-9.383294940908552
0.00018459,0.3949017630140116,-9.375935772598478
0.00018522,0.3949017630140116,-9.364897020133366
0.00018585,0.4023363775466242,-9.342819515203143
0.00018648,0.4023363775466242,-9.324421594427957
0.00018711,0.4023363775466242,-9.287625752877585
